iter	Passed	Remaining
0	2	264
1	3	191
2	5	166
3	5	134
4	7	136
5	9	148
6	9	131
7	11	132
8	12	125
9	12	115
10	13	107
11	13	99
12	15	106
13	16	101
14	17	100
15	19	101
16	20	99
17	20	94
18	21	90
19	22	91
20	24	90
21	24	86
22	24	83
23	28	89
24	28	85
25	28	82
26	29	79
27	29	76
28	32	80
29	33	77
30	33	75
31	34	72
32	35	71
33	35	68
34	35	66
35	36	64
36	36	62
37	46	75
38	47	74
39	47	71
40	48	69
41	48	67
42	50	66
43	51	65
44	54	66
45	54	64
46	54	61
47	56	61
48	57	60
49	58	58
50	59	56
51	59	55
52	62	55
53	62	53
54	63	51
55	63	49
56	63	48
57	64	46
58	64	44
59	64	43
60	65	41
61	65	40
62	66	38
63	66	37
64	67	36
65	76	39
66	76	37
67	81	38
68	81	36
69	83	35
70	84	34
71	84	32
72	84	31
73	85	29
74	88	29
75	90	28
76	90	27
77	93	26
78	94	25
79	94	23
80	94	22
81	101	22
82	103	21
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	109	12
90	109	10
91	110	9
92	110	8
93	111	7
94	114	6
95	115	4
96	115	3
97	115	2
98	116	1
99	116	0
