feature,stability,avg_coefficient,std_coefficient,n_folds_important,n_folds_total
Air_Temp,1.0,0.03993967708257112,0.003732538099986803,44,44
CO2e_lag1,1.0,0.10841496643631458,0.01577888683165567,44,44
Q2,1.0,0.07293800760793764,0.002170007774370854,44,44
Q4,1.0,0.06818139198577289,0.003733263067842462,44,44
GDP,0.45454545454545453,0.008248071546571404,0.005011923111269563,20,44
CO2e_roll8_std,0.38636363636363635,0.009566321652210509,0.00506767339395927,17,44
COVID_Deaths,0.25,0.00541936246633108,0.00940726685344319,11,44
COVID,0.045454545454545456,0.002122342963886372,0.0037440700177670144,2,44
Rainfall,0.0,0.0029402989009032626,0.001127215915515724,0,44
CO2e_roll4_std,0.0,0.002275585135157342,0.002441468953643974,0,44
EnergyCrisis,0.0,0.00029112955202366956,0.0010465462957635419,0,44
