feature,mean_importance,std_importance,min_importance,max_importance,normalized_importance
TEC,29.25,14.337054661388313,0,49,1.0
CO2e_lag2,20.09090909090909,12.007229227386652,0,46,0.6868686868686869
CO2e_lag4,17.045454545454547,14.464619131230874,0,42,0.5827505827505828
CO2e_lag3,16.363636363636363,9.50380524051218,0,32,0.5594405594405595
Air_Temp,14.022727272727273,8.239286808179335,0,31,0.4794094794094794
CO2e_lag1,11.136363636363637,8.998966882852592,0,27,0.38073038073038074
Population,9.636363636363637,5.381326758890452,0,20,0.32944832944832947
CO2e_roll4_mean,9.545454545454545,4.8825037609004065,0,18,0.32634032634032634
Rainfall,7.2272727272727275,8.722655028361586,0,26,0.2470862470862471
GDP,7.159090909090909,7.147609841498134,0,21,0.24475524475524477
CEI,4.840909090909091,3.253970873606737,0,12,0.1655011655011655
CO2e_roll4_std,4.681818181818182,4.486204749880598,0,13,0.16006216006216006
CO2e_roll8_std,4.318181818181818,4.3472704459900475,0,12,0.14763014763014765
CO2e_roll8_mean,2.977272727272727,3.726371842347193,0,12,0.10178710178710178
Q2,1.6363636363636365,3.0975863704365127,0,12,0.05594405594405595
Q4,0.22727272727272727,0.5162643950727521,0,2,0.00777000777000777
COVID_Deaths,0.0,0.0,0,0,0.0
Q3,0.0,0.0,0,0,0.0
COVID,0.0,0.0,0,0,0.0
EnergyCrisis,0.0,0.0,0,0,0.0
