feature,mean_importance,std_importance,min_importance,max_importance
TEC,0.5140284105975774,0.23625168825483264,0.1538982531388106,0.8001319759524046
CO2e_lag4,0.4079464013295659,0.25026898684854537,0.10998494083766261,0.8100370517813105
CEI,0.01311617560064915,0.005766873368410339,0.004782860304096869,0.02031050193390651
CO2e_lag1,0.012016941452827369,0.004890368880329723,0.0049465905584522955,0.02025917211735627
Population,0.010863318702756392,0.003916377679014396,0.005299023451463024,0.020993785494648455
CO2e_lag2,0.010377432343435298,0.023542036453621188,0.001461362537808259,0.09657596948141878
Air_Temp,0.005876831722818931,0.002336237190584103,0.002763256272232135,0.011115613697960497
CO2e_roll4_mean,0.005697941682520272,0.0019961500395388526,0.0024327942240042577,0.00952354097534937
CO2e_roll8_mean,0.0047662968495478875,0.0017069110787200881,0.0018952016561522768,0.008707465550389601
CO2e_lag3,0.003951190124045087,0.0015278857245943688,0.0010163310564041044,0.0073512343239106335
GDP,0.003475881926603611,0.0018417200350098742,0.0012053343223168284,0.007060033986611365
CO2e_roll4_std,0.001970453560430128,0.0009993966073906491,0.0007770832865713014,0.004209869917266203
CO2e_roll8_std,0.0018965583639113854,0.0013415870217024538,0.0007825834025688667,0.00635576720259014
Rainfall,0.0016834588557735773,0.0006069325277132118,0.0011162354749903545,0.002864067328069608
Q3,0.0007500942802155133,0.0009866797714934536,0.0001546524208193863,0.0039708406205008285
Q2,0.0005486816281510975,0.00024069961938521326,0.00016434593866884614,0.0009661296268833037
COVID_Deaths,0.0003754931976464758,0.0006793234955835614,0.0,0.0021143533954056447
COVID,0.00034971176986620925,0.000625238900053944,0.0,0.0016855024521404373
Q4,0.000302804016015228,0.00018317167497687383,5.0380610430633255e-05,0.0006298784887607935
EnergyCrisis,5.921995643117813e-06,1.7500559111725053e-05,0.0,6.59691305861624e-05
