feature,dtype,n_unique,min,max,mean,missing_pct,category
GDP,int64,100,7827.0,10147.0,9281.18811881188,0.0,original
Population,int64,101,58836.0,69509.0,63745.0297029703,0.0,original
Air_Temp,float64,93,1.62,15.8,9.293663366336633,0.0,original
Rainfall,float64,99,141.4,539.9,295.30990099009904,0.0,original
TEC,float64,101,31679.98999999999,70923.94,51158.49504950495,0.0,original
CEI,float64,78,0.124,0.308,0.20990099009900992,0.0,original
COVID_Deaths,float64,16,0.0,60810.0,2263.6038613861383,0.0,original
CO2e_lag1,float64,101,86119.7,185503.5,136216.90495049505,0.0,lag
CO2e_lag2,float64,101,86119.7,185503.5,136511.94455445546,0.0,lag
CO2e_lag3,float64,101,86119.7,185503.5,137019.85247524755,0.0,lag
CO2e_lag4,float64,101,86119.7,185503.5,137726.2485148515,0.0,lag
GDP_dlog,float64,101,-0.22235110760653853,0.15573733041316196,0.0022522380748302524,0.0,original
TEC_dlog,float64,101,-0.48834617497230326,0.3520668634278916,-0.0028399899568617164,0.0,original
CO2e_dlog,float64,101,-0.35908495814108576,0.22295105640067625,-0.002342797305306222,0.0,original
CO2e_per_Population,float64,101,1.2903760863050644,3.124881468436738,2.1502360252711084,0.0,original
CO2e_per_TEC,float64,101,2.312155503648318,3.009622880862419,2.658594009230818,0.0,original
HDD_proxy,float64,93,2.1999999999999993,16.38,8.706336633663367,0.0,original
CDD_proxy,float64,1,0.0,0.0,0.0,0.0,original
Q2,int64,2,0.0,1.0,0.24752475247524752,0.0,seasonality
Q3,int64,2,0.0,1.0,0.24752475247524752,0.0,seasonality
Q4,int64,2,0.0,1.0,0.24752475247524752,0.0,seasonality
COVID,int64,2,0.0,1.0,0.07920792079207921,0.0,shock
EnergyCrisis,int64,2,0.0,1.0,0.07920792079207921,0.0,shock
