fs_option,model,annual_mae,annual_mape,annual_bias,consistency_score
fs_wrapper,lstm,22406.41187500003,6.228607851561293,5170.281041666663,0.937713921484387
fs_wrapper,lightgbm,33749.75926503214,2.68794091078252,15421.765204353687,0.9731205908921748
fs_wrapper,catboost,28948.279293346994,2.2750434071236363,21076.500119261862,0.9772495659287637
fs_wrapper,ridge,24387.00499261909,1.9529134265993613,20158.120603737298,0.9804708657340064
fs_wrapper,random_forest,23010.549895019496,1.889268517961961,14817.152029647617,0.9811073148203804
fs_linear,lstm,19919.13791666671,5.484227830994907,7715.232083333331,0.945157721690051
fs_linear,lightgbm,54543.03089161248,4.12829673017796,52320.287904675075,0.9587170326982204
fs_linear,catboost,70498.34854058144,5.113321122833963,68732.30329622541,0.9488667887716604
fs_linear,ridge,39581.83504168706,2.798593249030978,24023.816232160527,0.9720140675096902
fs_linear,random_forest,53246.63711018421,4.039761765417814,43802.43249305821,0.9596023823458218
