feature,variance,above_threshold
Q2,0.18811881188118817,True
Q4,0.18811881188118817,True
Q3,0.18811881188118817,True
CEI,0.10092066691309963,True
Population,0.0882026803920467,True
HDD_proxy,0.0754903479818441,True
Air_Temp,0.0754903479818441,True
COVID,0.07366336633663369,True
EnergyCrisis,0.07366336633663367,True
CO2e_per_Population,0.06947053281223686,True
CO2e_lag1,0.06325331510614729,True
CO2e_lag2,0.06265941771513123,True
CO2e_lag3,0.0610729097240875,True
CO2e_lag4,0.06062361029266408,True
GDP,0.05952509182844563,True
TEC,0.05848318468176749,True
CO2e_per_TEC,0.05645280563191398,True
TEC_dlog,0.05454397563747856,True
CO2e_dlog,0.05165566905977504,True
Rainfall,0.04337211910404354,True
COVID_Deaths,0.02120840849694177,True
GDP_dlog,0.0057853821518600666,False
CDD_proxy,0.0,False
