fs_option,n_features,model,status,best_fitness,best_params
fs_wrapper,13,ridge,success,0.022917149179476976,{'alpha': 0.19489289780387775}
fs_wrapper,13,random_forest,success,0.029790615873829335,"{'n_estimators': 250, 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 1}"
fs_wrapper,13,catboost,success,0.030219598289028225,"{'iterations': 262, 'learning_rate': 0.1675548945671883, 'depth': 3, 'l2_leaf_reg': 9.315501413859227}"
fs_wrapper,13,lightgbm,success,0.03543711839222771,"{'n_estimators': 300, 'learning_rate': 0.07430658522589961, 'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 5, 'reg_alpha': 0.001, 'reg_lambda': 1.4622335258197192}"
fs_wrapper,13,lstm,success,0.10817611812274357,"{'lookback': 6, 'hidden_size': 43, 'num_layers': 2, 'dropout': 0.37260599450819476, 'learning_rate': 0.009094400450632374, 'batch_size': 32}"
fs_linear,9,ridge,success,0.04680359433904603,{'alpha': 0.001}
fs_linear,9,random_forest,success,0.055640889564149816,"{'n_estimators': 114, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}"
fs_linear,9,catboost,success,0.05965351339803098,"{'iterations': 133, 'learning_rate': 0.22800099075614655, 'depth': 3, 'l2_leaf_reg': 10.0}"
fs_linear,9,lightgbm,success,0.05785190850095708,"{'n_estimators': 284, 'learning_rate': 0.10509246229824426, 'num_leaves': 60, 'max_depth': 9, 'min_child_samples': 6, 'reg_alpha': 0.001, 'reg_lambda': 3.948093446599554}"
fs_linear,9,lstm,success,0.10366872496773677,"{'lookback': 6, 'hidden_size': 35, 'num_layers': 2, 'dropout': 0.33423086769930577, 'learning_rate': 0.0082041203561085, 'batch_size': 16}"
