fs_option,n_features,model,weighted_mae,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,r2_h1,mae_h2,rmse_h2,mape_h2,r2_h2,mae_h4,rmse_h4,mape_h4,r2_h4
fs_wrapper,13,lstm,0.1015807200053939,0.9233110080544741,0.08305867825308258,0.4682678922076047,0.09820709665852298,0.11172982335019095,0.8285188769132624,0.23943702165911251,0.138843406723498,0.17204685918549495,1.201636012795394,-0.7253867049885006,0.05412074829541513,0.08244022538290426,0.45977841506041706,0.5360564492709639
fs_wrapper,13,lightgbm,0.03517348500076779,0.9734188060872073,0.027307047846794254,0.1416054352204532,0.033662522330547576,0.049912271453582346,0.2896201948623842,0.8902072466957324,0.034678498264240104,0.05108395940887612,0.2985275583771953,0.8773346317686774,0.039693371781109876,0.05791794852720711,0.34203440535011576,0.8498578515945209
fs_wrapper,13,catboost,0.02983285597272139,0.971819021233813,0.028998175741002163,0.1364961805217204,0.027624204253139755,0.045116375037027145,0.23775005592203766,0.9102927789625722,0.029093447797849326,0.046327038664718885,0.2503874496687506,0.8991160810593443,0.03646359753398357,0.05582211622160412,0.31422489016826693,0.8605274060978527
fs_wrapper,13,ridge,0.022746682096801613,0.9846750572983475,0.015563451707306988,0.07400744557496841,0.02203590229535181,0.030602957657304836,0.18965475521517255,0.9587251209076686,0.022004825423673206,0.029435891245518733,0.18940848038472116,0.9592706720583268,0.025636416610118746,0.03346741887907202,0.2209586429114032,0.9498673428907042
fs_wrapper,13,random_forest,0.02933099531997516,0.9772694558107395,0.023259239357279693,0.11456916268214501,0.026814324539965167,0.04278366513098104,0.23077760950772716,0.9193294571000215,0.028272025238725153,0.04329977160684926,0.24318266072108446,0.9118699379707151,0.037211127391875154,0.05533753222153821,0.3205867574296517,0.8629383800586122
fs_linear,9,lstm,0.09077305951859828,0.9353687319504487,0.06909710132685427,0.3666777356524289,0.08206282748156385,0.09680404475804713,0.6939062977742564,0.4290685526916195,0.12372646790621905,0.15242365033865912,1.068088664842073,-0.35424632628157005,0.06311852702975315,0.07526449596131983,0.5355452969539243,0.6133062825354968
fs_linear,9,lightgbm,0.0571925875951809,0.9707688033490856,0.0301113885716854,0.142735134941971,0.05380461057458721,0.06744572832291813,0.4612195876507343,0.7995214536576631,0.05531192375961123,0.06852956760725842,0.4742846360872088,0.7792458646756795,0.06848352590001963,0.08397898023139577,0.5882021152120596,0.6843415075742114
fs_linear,9,catboost,0.058770212237338235,0.9624826785915741,0.03897973671934129,0.18704974739798974,0.05362766378394994,0.07239479568870845,0.4604644177222356,0.7690203597750846,0.05724724141907981,0.0758547193894669,0.4915053045440179,0.7295306378554123,0.07391103959819659,0.09270394451616638,0.6355291382507569,0.6153438221264191
fs_linear,9,ridge,0.04664362388692043,0.9730175161832573,0.027730727728914703,0.13918248509598863,0.047468847884811094,0.06740768869998427,0.40700320871249446,0.7997475310658981,0.04436828663238306,0.05849632528387177,0.3803959710934651,0.839154085566754,0.04799356977399981,0.06134024216390757,0.41163235997237885,0.8315902399304557
fs_linear,9,random_forest,0.05504128526169531,0.9656845487126932,0.03553484554873643,0.1686676304158321,0.05164570771205363,0.06817718406920889,0.4428577511420896,0.7951494538991215,0.05384670472538762,0.07047844842230593,0.4617720326375493,0.7665114792593477,0.06532209994026106,0.08293222364064866,0.5610640576732089,0.6921615206339021
