criterion,perturbation,perturbation_pct,alternative,base_rank,new_rank,rank_change
weighted_mae,increase,+20%,ridge,1,1,0
weighted_mae,increase,+20%,random_forest,2,2,0
weighted_mae,decrease,-20%,ridge,1,1,0
weighted_mae,decrease,-20%,random_forest,2,2,0
stability_score,increase,+20%,ridge,1,1,0
stability_score,increase,+20%,random_forest,2,2,0
stability_score,decrease,-20%,ridge,1,1,0
stability_score,decrease,-20%,random_forest,2,2,0
annual_mape,increase,+20%,ridge,1,1,0
annual_mape,increase,+20%,random_forest,2,2,0
annual_mape,decrease,-20%,ridge,1,1,0
annual_mape,decrease,-20%,random_forest,2,2,0
